year,stocks_may,stocks_dec,stocks_may_yoy,stocks_dec_yoy,stock_drawdown_pct
2015,320000,1900000,128.57142857142856,8.571428571428562,81.71428571428572
2016,340000,1800000,6.25,-5.263157894736848,82.10526315789474
2017,330000,1850000,-2.941176470588236,2.777777777777768,81.66666666666667
2018,150000,1400000,-54.54545454545454,-24.32432432432432,91.8918918918919
2019,270000,1350000,80.0,-3.57142857142857,80.71428571428572
2020,420000,1640000,55.55555555555556,21.48148148148148,68.88888888888889
2021,220000,1200000,-47.61904761904761,-26.82926829268293,86.58536585365853
2022,280000,1155000,27.27272727272727,-3.749999999999998,76.66666666666667
2023,325000,1550000,16.07142857142858,34.19913419913421,71.86147186147186
2024,225000,1400000,-30.76923076923077,-9.677419354838712,85.48387096774194
2025,350000,1600000,55.55555555555556,14.28571428571428,75.0
